TIME,ID,AGE,S,ETHBLACK,ASVABC,URBAN,REGNE,REGNC,REGW,REGS,EARNINGS,AGESQ
0,2,21,9,0,35.5,1,1,0,0,0,8.7018585,441
0,3,18,10,0,48.25,1,1,0,0,0,7.5593829,324
0,17,23,13,0,61.25,1,1,0,0,0,11.139143,529
0,18,22,12,0,63,1,0,0,1,0,7.9211674,484
0,24,19,12,0,56.25,1,1,0,0,0,8.0925388,361
0,27,19,13,0,61.75,1,0,0,1,0,6.1884127,361
0,30,21,12,0,34.25,1,1,0,0,0,7.9973311,441
0,34,21,13,0,38.75,0,1,0,0,0,11.424761,441
0,37,21,12,0,55,1,1,0,0,0,8.3210325,441
0,45,20,12,0,50.5,1,1,0,0,0,13.062308,400
0,47,21,12,0,59.25,0,1,0,0,0,15.74713,441
0,48,21,12,0,45.25,0,1,0,0,0,15.690002,441
0,49,21,14,0,58.25,1,1,0,0,0,10.453653,441
0,50,21,12,0,58.75,1,1,0,0,0,7.1785579,441
0,52,21,14,0,59.5,0,1,0,0,0,13.462177,441
0,58,23,16,0,61.25,1,1,0,0,0,9.9014597,529
0,59,21,12,0,61.5,1,1,0,0,0,9.996664,441
0,78,22,16,0,59.5,1,1,0,0,0,11.995996,484
0,95,19,12,0,45.5,1,1,0,0,0,6.4169078,361
0,98,22,13,0,56.75,1,1,0,0,0,7.7117133,484
0,104,21,12,0,49,1,1,0,0,0,11.329552,441
0,105,21,12,0,61,1,1,0,0,0,11.329552,441
0,110,22,12,0,56,1,1,0,0,0,12.986144,484
0,111,20,12,0,48.25,1,1,0,0,0,6.4169078,400
0,114,23,12,0,60.5,1,1,0,0,0,17.441799,529
0,118,18,9,0,45.5,1,1,0,0,0,5.7123804,324
0,125,23,13,0,45,1,1,0,0,0,8.0925388,529
0,126,21,14,0,58,1,1,0,0,0,6.6644421,441
0,128,21,12,0,59,1,1,0,0,0,9.9205008,441
0,134,18,11,0,50,1,1,0,0,0,9.8062515,324
0,136,22,12,0,37.75,1,1,0,0,0,5.7123804,484
0,150,20,12,0,49,1,1,0,0,0,6.3597827,400
0,164,20,12,0,41.5,1,1,0,0,0,6.6644421,400
0,178,21,12,0,60.5,1,1,0,0,0,9.5206337,441
0,179,21,12,0,48.25,1,1,0,0,0,8.3210325,441
0,183,21,12,0,52,1,1,0,0,0,10.377493,441
0,184,19,12,0,54,1,1,0,0,0,6.3216991,361
0,200,21,12,0,44.5,1,1,0,0,0,9.5206337,441
0,209,19,11,0,55.25,1,1,0,0,0,10.567904,361
0,212,19,12,0,54,1,1,0,0,0,9.5206337,361
0,215,19,12,0,54,1,1,0,0,0,8.854188,361
0,218,22,16,0,61,1,1,0,0,0,15.099724,484
0,231,22,12,0,46.25,1,1,0,0,0,9.996664,484
0,232,18,12,0,50.5,1,1,0,0,0,5.7123804,324
0,242,21,12,0,44,1,0,0,1,0,6.8738966,441
0,243,21,12,0,57.25,1,1,0,0,0,15.861376,441
0,259,21,12,0,57.5,1,1,0,0,0,15.423427,441
0,264,18,12,0,59.5,1,0,0,0,1,19.041267,324
0,267,21,12,0,40.75,1,1,0,0,0,7.6165071,441
0,272,23,16,0,61,1,1,0,0,0,7.0833507,529
0,274,19,12,0,61.5,1,0,0,0,1,10.891606,361
0,277,20,12,0,44.5,1,1,0,0,0,6.1693707,400
0,293,20,12,0,62.25,1,1,0,0,0,10.129951,400
0,294,18,12,0,50.5,0,1,0,0,0,5.940876,324
0,295,16,10,0,43,1,1,0,0,0,4.3414083,256
0,307,22,12,0,51.75,1,1,0,0,0,7.1404753,484
0,308,18,12,0,36,1,1,0,0,0,8.1877432,324
0,309,21,12,0,48,0,0,1,0,0,13.328884,441
0,310,19,12,0,43.25,1,1,0,0,0,6.0932055,361
0,320,20,12,0,56.5,1,1,0,0,0,12.167372,400
0,323,20,12,0,55,1,1,0,0,0,13.328884,400
0,327,21,14,0,61.25,1,1,0,0,0,10.872563,441
0,341,20,14,0,50.5,1,1,0,0,0,8.3210325,400
0,349,21,13,0,52.25,1,1,0,0,0,7.6165071,441
0,351,20,12,0,41.75,1,1,0,0,0,8.0925388,400
0,352,18,12,0,52.75,1,1,0,0,0,6.5692372,324
0,353,20,12,0,51,1,1,0,0,0,13.881084,400
0,354,23,12,0,56.75,1,1,0,0,0,9.4254274,529
0,371,20,14,0,53.75,1,1,0,0,0,6.6644421,400
0,374,18,12,0,39.25,1,1,0,0,0,6.1884127,324
0,375,19,12,0,38.25,1,1,0,0,0,10.986813,361
0,377,21,12,1,46,1,1,0,0,0,6.3788228,441
0,383,19,12,1,45.5,1,1,0,0,0,9.596797,361
0,385,19,12,1,45.75,1,1,0,0,0,6.1884127,361
0,392,20,12,0,62.75,1,1,0,0,0,13.804917,400
0,398,21,10,1,43.25,1,1,0,0,0,12.224491,441
0,399,22,14,0,58.25,1,1,0,0,0,8.4733648,484
0,402,22,12,0,43.5,1,1,0,0,0,8.0734978,484
0,403,23,7,0,33.5,1,1,0,0,0,6.6644421,529
0,405,20,12,0,42.25,1,1,0,0,0,7.1404753,400
0,408,19,12,0,62.75,1,1,0,0,0,10.148996,361
0,416,22,14,0,53.5,1,1,0,0,0,15.861376,484
0,417,19,12,0,52,1,1,0,0,0,9.5206337,361
0,424,22,12,0,61,1,1,0,0,0,14.280951,484
0,428,21,14,0,58.25,1,1,0,0,0,8.1496611,441
0,432,21,12,0,32.5,1,1,0,0,0,7.0071864,441
0,433,19,12,0,32.5,1,1,0,0,0,6.3788228,361
0,435,18,12,0,40.75,1,1,0,0,0,8.0925388,324
0,437,22,12,0,54.5,1,1,0,0,0,8.5685701,484
0,440,18,12,0,50.75,1,1,0,0,0,7.8259611,324
0,449,19,12,0,53.25,1,1,0,0,0,8.5685701,361
0,454,18,12,0,55.75,1,1,0,0,0,6.6644421,324
0,460,18,12,0,43.75,1,1,0,0,0,6.5121131,324
0,464,20,14,0,58.75,1,1,0,0,0,4.455657,400
0,492,18,12,0,51.25,1,0,1,0,0,8.1306219,324
0,495,19,12,0,56.5,1,0,1,0,0,7.04527,361
0,502,19,12,0,58,1,0,1,0,0,9.1398087,361
0,503,19,12,0,49.5,1,0,1,0,0,6.1884127,361
0,505,20,12,0,44,1,0,1,0,0,8.6828165,400
0,512,20,13,0,50.5,1,0,1,0,0,12.262573,400
0,526,20,12,0,38.75,1,0,1,0,0,13.271762,400
0,527,22,13,0,56.75,1,0,1,0,0,7.7117133,484
0,531,22,9,0,34.75,1,0,1,0,0,13.709712,484
0,538,21,11,0,47,1,0,1,0,0,14.10958,441
0,543,20,12,0,41.5,1,0,1,0,0,8.5876112,400
0,545,20,12,0,53.5,1,0,1,0,0,13.176558,400
0,559,19,13,0,61.75,1,0,1,0,0,8.5685701,361
0,560,20,14,0,52.5,1,0,0,1,0,13.328884,400
0,569,19,12,0,62,1,0,1,0,0,9.5206337,361
0,577,21,15,0,62,1,0,1,0,0,13.328884,441
0,578,19,13,0,63.75,1,0,1,0,0,19.231678,361
0,581,21,12,0,62.5,1,0,1,0,0,10.472698,441
0,582,21,12,0,60.5,1,0,1,0,0,8.0925388,441
0,583,22,12,0,59.25,1,0,1,0,0,9.7110462,484
0,609,18,12,0,47.5,1,0,1,0,0,6.0741639,324
0,615,19,10,0,36.75,1,0,1,0,0,7.1404753,361
0,616,17,9,0,33.5,1,0,1,0,0,7.2356811,289
0,620,22,11,1,31,1,0,1,0,0,12.091206,484
0,626,22,12,0,46.5,1,0,1,0,0,5.7123804,484
0,627,22,12,0,61.5,1,0,1,0,0,9.6539202,484
0,631,21,11,0,43.25,1,0,1,0,0,11.367637,441
0,633,22,12,0,57.5,1,0,1,0,0,10.815441,484
0,634,20,12,0,50,1,0,1,0,0,7.6736312,400
0,638,18,12,0,51,0,0,1,0,0,6.6644421,324
0,647,19,12,0,49.75,1,0,1,0,0,9.1969299,361
0,677,18,12,1,49.5,1,0,1,0,0,6.4169078,324
0,678,18,12,1,39,1,0,1,0,0,10.225158,324
0,679,22,12,1,37.25,1,0,1,0,0,7.6165071,484
0,680,20,12,1,39.75,1,0,1,0,0,7.6165071,400
0,684,20,12,0,44.25,1,0,1,0,0,18.089203,400
0,697,23,12,0,43,1,0,1,0,0,19.993328,529
0,699,22,15,0,46.75,1,0,1,0,0,7.6165071,484
0,700,17,10,0,42,1,0,1,0,0,5.9027925,289
0,705,21,12,0,57.75,1,0,1,0,0,7.7878785,441
0,711,18,12,0,46.25,1,0,1,0,0,6.1884127,324
0,712,20,12,0,61.5,1,0,1,0,0,11.424761,400
0,715,21,10,0,42.75,1,0,1,0,0,8.5685701,441
0,716,19,12,0,40.25,1,0,1,0,0,8.5685701,361
0,718,20,12,0,55.5,1,0,1,0,0,10.472698,400
0,719,21,12,0,34.75,1,0,1,0,0,8.5685701,441
0,729,21,12,0,58.25,1,0,1,0,0,18.565239,441
0,730,19,12,0,56,0,0,1,0,0,9.1398087,361
0,731,22,12,0,54.5,0,0,1,0,0,9.2921362,484
0,732,20,12,0,53,0,0,1,0,0,8.0925388,400
0,738,22,12,0,52,0,0,1,0,0,18.184412,484
0,739,21,12,0,47.5,0,0,1,0,0,5.7123804,441
0,745,23,12,1,47,1,0,1,0,0,10.472698,529
0,767,17,9,0,39.75,1,0,1,0,0,5.940876,289
0,772,20,12,0,53.25,1,0,1,0,0,13.728756,400
0,785,23,12,0,46.25,1,0,1,0,0,7.6165071,529
0,787,18,12,0,39.5,1,0,1,0,0,6.1884127,324
0,788,21,16,0,51,1,0,1,0,0,12.338741,441
0,789,20,12,0,48.75,1,0,1,0,0,2.8561902,400
0,800,19,12,0,45.5,1,0,1,0,0,9.0446014,361
0,805,22,12,0,43.25,1,0,1,0,0,7.9211674,484
0,806,18,12,0,38.75,1,0,1,0,0,19.041267,324
0,814,21,12,0,44.5,1,0,1,0,0,8.4543228,441
0,834,20,12,1,38.75,1,0,1,0,0,6.6644421,400
0,837,22,12,1,40.5,1,0,1,0,0,11.938874,484
0,839,20,12,1,33.75,1,0,1,0,0,23.078012,400
0,851,20,12,0,53.25,1,0,1,0,0,11.900792,400
0,853,21,12,0,62.75,1,0,1,0,0,10.758317,441
0,855,21,12,0,56.25,1,0,1,0,0,6.6263599,441
0,856,19,13,0,58.75,0,0,0,0,1,8.7780237,361
0,859,19,12,0,42.25,1,0,1,0,0,7.8069191,361
0,863,20,12,0,50.5,1,0,1,0,0,7.3118463,400
0,865,20,12,0,53.75,1,0,1,0,0,18.374819,400
0,869,18,12,0,53.25,1,0,1,0,0,6.9119806,324
0,872,19,12,0,56,1,0,1,0,0,9.3492613,361
0,888,21,12,0,43.25,1,0,1,0,0,8.4733648,441
0,891,19,12,0,53.5,1,0,1,0,0,11.424761,361
0,893,20,12,0,47,1,0,1,0,0,7.6736312,400
0,899,22,15,0,61,1,0,1,0,0,4.2271614,484
0,912,22,16,0,61.5,1,0,1,0,0,5.4838848,484
0,919,20,12,0,50,1,0,1,0,0,6.6644421,400
0,922,19,12,0,52.25,1,0,1,0,0,9.996664,361
0,923,18,12,0,39,1,0,1,0,0,7.9021239,324
0,925,22,16,0,60,1,0,1,0,0,16.470697,484
0,927,23,14,0,62.5,1,0,1,0,0,15.556711,529
0,935,21,12,0,48.5,1,0,1,0,0,10.94873,441
0,941,21,13,0,49,1,0,1,0,0,9.8252916,441
0,943,21,13,0,43,1,0,1,0,0,8.5685701,441
0,947,22,13,0,59.75,1,0,1,0,0,17.13714,484
0,955,21,12,0,50.75,1,0,1,0,0,11.424761,441
0,962,18,12,0,54,1,0,1,0,0,7.1404753,324
0,965,22,12,0,40,1,0,1,0,0,8.892272,484
0,968,19,12,0,52.5,1,0,1,0,0,7.3118463,361
0,969,21,12,0,53.5,1,0,1,0,0,7.5022578,441
0,970,20,12,0,54.5,1,0,1,0,0,25.382002,400
0,979,20,12,0,48.5,1,0,1,0,0,7.6165071,400
0,981,19,12,0,42.25,1,0,1,0,0,7.9973311,361
0,985,21,12,0,55,1,0,1,0,0,6.7977309,441
0,990,20,12,0,55,1,0,1,0,0,9.5206337,400
0,996,19,12,0,43,0,0,1,0,0,8.5685701,361
0,998,22,12,0,62.5,1,0,1,0,0,5.9599175,484
0,1001,20,12,1,35.5,0,0,1,0,0,7.426095,400
0,1007,22,12,0,56,1,0,1,0,0,9.5206337,484
0,1008,21,12,0,45.5,1,0,0,1,0,7.426095,441
0,1016,19,12,0,45.5,1,0,1,0,0,7.1404753,361
0,1045,21,12,0,53.75,1,0,1,0,0,7.6165071,441
0,1060,20,12,0,48.5,1,0,1,0,0,10.758317,400
0,1061,21,12,0,58.5,1,0,1,0,0,13.328884,441
0,1062,21,12,0,59.75,0,0,1,0,0,8.5685701,441
0,1063,19,12,0,52.25,1,0,1,0,0,6.5692372,361
0,1065,21,12,0,55.75,1,0,1,0,0,8.0734978,441
0,1073,21,13,1,37,1,0,0,0,1,4.5699043,441
0,1083,20,13,0,57.5,1,0,0,0,1,6.0932055,400
0,1084,23,9,0,39.5,1,0,0,0,1,9.5206337,529
0,1085,19,12,0,52.5,1,0,0,0,1,9.7300873,361
0,1089,17,8,0,31.25,0,0,0,0,1,7.6165071,289
0,1091,22,10,0,50.25,0,0,0,0,1,6.283618,484
0,1094,21,12,0,48,0,0,0,0,1,10.472698,441
0,1096,22,11,0,39,1,0,0,0,1,8.7589827,484
0,1107,23,12,0,53,1,0,0,0,1,10.472698,529
0,1111,23,12,0,53,1,0,0,0,1,12.662439,529
0,1137,21,13,0,56,1,0,0,0,1,9.5206337,441
0,1140,21,16,0,54,1,0,0,0,1,3.7892122,441
0,1143,20,14,0,58,0,0,0,0,1,6.7596507,400
0,1146,18,12,0,37.5,1,0,0,0,1,5.2363491,324
0,1147,18,12,0,53.75,1,0,0,0,1,5.9027925,324
0,1156,22,12,1,53.25,1,0,0,0,1,8.2258272,484
0,1158,19,14,1,40.25,1,0,0,0,1,8.3210325,361
0,1169,21,12,0,55.25,1,0,0,0,1,13.271762,441
0,1170,18,12,0,47,1,0,0,0,1,6.7025261,324
0,1172,20,12,0,55,1,0,0,0,1,8.0925388,400
0,1180,21,13,0,41.5,1,0,0,0,1,9.1398087,441
0,1182,21,16,0,61.25,1,0,0,0,1,5.9027925,441
0,1184,22,16,0,61.75,1,0,0,0,1,17.289471,484
0,1190,20,12,1,40,1,0,0,0,1,6.7406092,400
0,1204,18,8,0,31.25,1,0,0,0,1,8.7780237,324
0,1207,20,13,1,40.75,1,0,0,0,1,6.1884127,400
0,1210,19,8,1,30,1,0,0,0,1,5.6171741,361
0,1225,22,8,0,30.25,1,0,0,0,1,7.6165071,484
0,1232,22,11,0,58.25,1,0,0,0,1,8.5685701,484
0,1245,19,12,0,41,0,0,0,0,1,8.3781576,361
0,1264,19,12,0,56.75,1,0,0,0,1,5.9027925,361
0,1272,20,12,0,48.25,1,0,0,0,1,10.96777,400
0,1275,21,10,0,30.5,1,0,0,0,1,4.817441,441
0,1278,19,12,0,40.75,1,0,0,0,1,4.7603168,361
0,1279,21,15,0,58.25,1,0,0,0,1,12.852857,441
0,1311,22,16,0,52.75,1,0,0,0,1,8.3210325,484
0,1313,18,12,1,29.5,1,0,0,0,1,2.8752303,324
0,1316,18,9,0,45,0,0,0,0,1,7.6165071,324
0,1318,22,8,0,45,0,0,0,0,1,6.1884127,484
0,1320,22,13,0,63.75,0,0,0,0,1,8.4352808,484
0,1327,18,12,0,51,0,0,0,0,1,6.283618,324
0,1328,18,11,0,35.5,1,0,0,0,1,6.6644421,324
0,1334,21,12,0,57.25,0,0,0,0,1,17.34659,441
0,1335,19,12,0,41.75,0,0,0,0,1,7.1785579,361
0,1337,22,8,0,36.5,0,0,0,0,1,8.7018585,484
0,1342,20,9,0,31,0,0,0,0,1,8.2829504,400
0,1343,18,9,0,45,0,0,0,0,1,5.7123804,324
0,1345,21,12,0,54.75,1,0,0,0,1,8.6066532,441
0,1352,21,12,0,47.25,1,0,0,0,1,6.0741639,441
0,1357,23,12,0,34.25,1,0,0,0,1,8.911314,529
0,1359,22,14,0,54,1,0,0,0,1,8.3591146,484
0,1360,23,12,0,48.5,1,0,0,0,1,7.0071864,529
0,1366,21,12,0,48.25,1,0,0,0,1,8.873229,441
0,1369,19,12,0,51.25,1,0,0,0,1,6.6644421,361
0,1371,19,12,0,44.75,1,0,0,0,1,8.5685701,361
0,1392,22,7,0,31,0,0,0,0,1,6.9500637,484
0,1393,21,12,0,55.25,0,0,0,0,1,8.5685701,441
0,1394,20,12,0,56,0,0,0,0,1,7.3118463,400
0,1420,17,8,0,49,1,0,0,0,1,9.5206337,289
0,1428,20,12,0,55.75,1,0,0,0,1,8.911314,400
0,1435,19,12,1,37.25,1,0,0,0,1,7.6165071,361
0,1458,20,12,0,49.5,1,0,0,0,1,9.5206337,400
0,1462,22,10,0,51.25,1,0,0,0,1,12.948062,484
0,1463,21,12,0,51.5,1,0,0,0,1,7.6165071,441
